Nurses,Sample,Soln,Precision,Precision_err,Recall,Recall_err,Time,Time_err
10,50,1,100.0,0.0,4.081632653061225,0.0,0.030672380000060003,0.0
10,50,10,100.0,0.0,87.5,0.0,0.3036307999998826,0.0
10,50,20,100.0,0.0,90.0,0.0,0.6037316000002647,0.0
10,50,40,100.0,0.0,0.0,0.0,1.2068391999993764,0.0
